Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,Year,twitter_handle
1,1,WAS,John Wall,Kentucky,10.0,581.0,20803.0,11016.0,2517.0,5326.0,0.433,0.32299999999999995,0.782,35.8,19.0,4.3,9.2,44.6,0.10300000000000001,2.5,23.6,2010,JohnWall
2,2,PHI,Evan Turner,Ohio State,10.0,705.0,18938.0,6824.0,3278.0,2462.0,0.434,0.294,0.782,26.9,9.7,4.6,3.5,20.2,0.051,-1.9,0.5,2010,thekidet
3,3,NJN,Derrick Favors,Georgia Tech,11.0,699.0,17767.0,7876.0,5140.0,797.0,0.531,0.207,0.6609999999999999,25.4,11.3,7.4,1.1,54.8,0.14800000000000002,0.9,12.9,2010,dfavors14
4,4,MIN,Wesley Johnson,Syracuse,9.0,609.0,13472.0,4235.0,1924.0,645.0,0.40399999999999997,0.337,0.741,22.1,7.0,3.2,1.1,10.7,0.038,-1.6,1.2,2010,WesJohnson4
5,5,SAC,DeMarcus Cousins,Kentucky,10.0,577.0,18283.0,12101.0,6222.0,1864.0,0.45899999999999996,0.33,0.737,31.7,21.0,10.8,3.2,44.1,0.11599999999999999,2.6,21.1,2010,boogiecousins
6,6,GSW,Ekpe Udoh,Baylor,7.0,384.0,5694.0,1353.0,1100.0,260.0,0.45299999999999996,0.0,0.718,14.8,3.5,2.9,0.7,10.4,0.08800000000000001,-1.4,0.8,2010,EkpeUdoh
7,7,DET,Greg Monroe,Georgetown,9.0,632.0,17475.0,8326.0,5229.0,1354.0,0.514,0.059000000000000004,0.7040000000000001,27.7,13.2,8.3,2.1,49.7,0.136,1.4,15.2,2010,M10OSE
8,8,LAC,Al-Farouq Aminu,Wake Forest,10.0,688.0,17264.0,5248.0,4170.0,848.0,0.42100000000000004,0.335,0.745,25.1,7.6,6.1,1.2,27.5,0.076,-0.5,6.7,2010,farouq1
9,9,UTA,Gordon Hayward,Butler,11.0,657.0,20333.0,10199.0,2907.0,2275.0,0.45299999999999996,0.368,0.8240000000000001,30.9,15.5,4.4,3.5,55.5,0.131,2.2,21.7,2010,gordonhayward
10,10,IND,Paul George,Fresno State,11.0,668.0,22392.0,13398.0,4262.0,2272.0,0.435,0.384,0.847,33.5,20.1,6.4,3.4,72.1,0.155,4.1,34.5,2010,Yg_Trece
11,11,NOH,Cole Aldrich,Kansas,8.0,339.0,3389.0,1050.0,1131.0,183.0,0.527,,0.738,10.0,3.1,3.3,0.5,9.6,0.135,0.1,1.8,2010,colea45
12,12,MEM,Xavier Henry,Kansas,5.0,185.0,2905.0,1050.0,351.0,120.0,0.406,0.325,0.635,15.7,5.7,1.9,0.6,0.8,0.013000000000000001,-4.4,-1.7,2010,XavierHenry
13,13,TOR,Ed Davis,UNC,11.0,681.0,13438.0,4246.0,4510.0,525.0,0.5660000000000001,0.0,0.584,19.7,6.2,6.6,0.8,42.4,0.152,-0.2,6.1,2010,eddavisXVII
14,14,HOU,Patrick Patterson,Kentucky,11.0,688.0,14429.0,4610.0,2734.0,711.0,0.447,0.369,0.755,21.0,6.7,4.0,1.0,30.6,0.102,-0.1,7.1,2010,pdpatt
15,15,MIL,Larry Sanders,VCU,6.0,238.0,4635.0,1520.0,1345.0,174.0,0.48,0.0,0.5529999999999999,19.5,6.4,5.7,0.7,10.3,0.107,-1.1,1.1,2010,l8show_thegoat
16,16,MIN,Luke Babbitt,Nevada,8.0,381.0,5332.0,1818.0,846.0,224.0,0.408,0.402,0.747,14.0,4.8,2.2,0.6,7.2,0.065,-2.1,-0.1,2010,Realbabbitt08
17,17,CHI,Kevin Séraphin,,7.0,423.0,6430.0,2516.0,1462.0,246.0,0.489,0.0,0.715,15.2,5.9,3.5,0.6,5.9,0.044000000000000004,-4.3,-3.6,2010,french_savage
18,18,OKC,Eric Bledsoe,Kentucky,11.0,645.0,17955.0,9124.0,2562.0,3102.0,0.457,0.33899999999999997,0.792,27.8,14.1,4.0,4.8,42.9,0.115,2.1,18.5,2010,EBled2
19,19,BOS,Avery Bradley,Texas,11.0,578.0,16303.0,6782.0,1683.0,1024.0,0.43700000000000006,0.366,0.78,28.2,11.7,2.9,1.8,16.5,0.048,-2.2,-0.7,2010,Avery0Bradley
20,20,SAS,James Anderson,Oklahoma State,5.0,247.0,4320.0,1422.0,560.0,291.0,0.41100000000000003,0.321,0.755,17.5,5.8,2.3,1.2,3.3,0.037000000000000005,-2.7,-0.8,2010,
21,21,OKC,Craig Brackins,Iowa State,2.0,17.0,121.0,30.0,19.0,9.0,0.265,0.214,0.5,7.1,1.8,1.1,0.5,-0.2,-0.08900000000000001,-9.9,-0.2,2010,Cbrackins_33
22,22,POR,Elliot Williams,Memphis,4.0,109.0,1470.0,537.0,161.0,94.0,0.42100000000000004,0.31,0.669,13.5,4.9,1.5,0.9,0.7,0.024,-4.9,-1.1,2010,ewill901
23,23,MIN,Trevor Booker,Clemson,8.0,532.0,10872.0,3679.0,2932.0,566.0,0.515,0.305,0.636,20.4,6.9,5.5,1.1,26.2,0.11599999999999999,-0.5,4.2,2010,35_Fitz
24,24,ATL,Damion James,Texas,4.0,39.0,623.0,150.0,131.0,26.0,0.415,0.0,0.667,16.0,3.8,3.4,0.7,0.0,-0.001,-3.7,-0.3,2010,KONJames10
