twitter_handle,text_length,season,num_tweets,num_mentions
alexlen,766,2014-2015,105,63
alexlen,447,2012-2013,35,31
alexlen,134,2016-2017,12,5
alexlen,53,2019-2020,3,3
alexlen,743,2015-2016,79,38
alexlen,1323,2013-2014,121,94
alexlen,69,2018-2019,11,5
Dwhite921,1212,2017-2018,144,106
Dwhite921,4937,2014-2015,650,528
Dwhite921,6698,2012-2013,823,625
Dwhite921,754,2016-2017,104,71
Dwhite921,799,2019-2020,97,75
Dwhite921,565,2020-2021,98,79
Dwhite921,2183,2015-2016,298,226
Dwhite921,7243,2013-2014,857,616
Dwhite921,540,2018-2019,72,57
GorguiDieng,472,2017-2018,39,22
GorguiDieng,1897,2014-2015,255,106
GorguiDieng,2763,2012-2013,304,175
GorguiDieng,1095,2016-2017,102,51
GorguiDieng,530,2019-2020,82,30
GorguiDieng,57,2020-2021,3,3
GorguiDieng,633,2015-2016,61,35
GorguiDieng,2243,2013-2014,259,187
GorguiDieng,723,2018-2019,121,33
thekidet,1895,2017-2018,181,55
thekidet,11894,2018-2019,1110,469
thekidet,12938,2019-2020,1321,676
thekidet,5105,2020-2021,588,300
farouq1,1068,2017-2018,106,63
farouq1,2626,2014-2015,232,96
farouq1,1757,2012-2013,162,82
farouq1,557,2016-2017,58,14
farouq1,8848,2011-2012,929,444
farouq1,11687,2010-2011,1308,557
farouq1,82,2019-2020,5,3
farouq1,1398,2015-2016,134,66
farouq1,1901,2013-2014,174,102
farouq1,205,2018-2019,12,12
juanchiviris41,2841,2017-2018,277,182
juanchiviris41,4518,2014-2015,354,273
juanchiviris41,2730,2016-2017,305,212
juanchiviris41,1211,2019-2020,119,92
juanchiviris41,248,2020-2021,28,20
juanchiviris41,4050,2015-2016,345,262
juanchiviris41,7134,2013-2014,507,387
juanchiviris41,1643,2018-2019,137,103
KBD_33,207,2014-2015,18,16
KBD_33,7509,2012-2013,1059,540
KBD_33,169,2016-2017,15,13
KBD_33,2079,2011-2012,241,125
KBD_33,127,2019-2020,14,13
KBD_33,121,2020-2021,17,12
KBD_33,240,2015-2016,42,33
KBD_33,3929,2013-2014,579,310
