Player,art and entertainment,automotive and vehicles,business and industrial,careers,education,family and parenting,finance,food and drink,health and fitness,hobbies and interests,"law, govt and politics",news,pets,religion and spirituality,science,season,shopping,society,sports,style and fashion,technology and computing,travel,twitter_handle
Alex Len,0.641261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-2015,0.0,1.1354630000000001,1.913194,0.0,0.0,0.59426,alexlen
Alex Len,0.739019,0.0,0.0,0.0,0.0,1.798125,0.0,0.542239,0.0,0.0,0.55627,0.495237,0.0,0.0,0.0,2012-2013,0.0,2.323805,1.8364449999999999,0.562591,0.0,0.0,alexlen
Alex Len,0.641669,0.0,0.0,0.0,0.0,1.1855829999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-2017,0.0,1.971136,0.694898,0.0,0.0,0.0,alexlen
Alex Len,1.2703039999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-2020,0.0,0.0,0.0,0.0,2.2694199999999998,0.0,alexlen
Alex Len,1.197921,0.0,0.0,0.0,0.0,1.742133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-2016,0.0,1.1367829999999999,2.041659,0.62617,0.0,0.660062,alexlen
Alex Len,0.746798,0.0,0.0,0.0,0.0,1.11376,0.0,2.144442,0.0,0.0,0.507094,0.0,0.0,0.0,0.0,2013-2014,0.0,1.6802540000000001,1.9403190000000001,0.450225,0.0,0.0,alexlen
Alex Len,0.0,0.562545,0.0,1.150398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525555,0.0,0.0,2018-2019,0.0,0.525654,3.253586,0.0,0.0,0.0,alexlen
Derrick White,1.2655180000000001,0.0,0.0,0.0,0.0,1.209058,0.0,0.506274,0.0,0.0,0.527694,0.0,0.0,0.0,0.0,2017-2018,0.0,1.8401359999999998,1.9759319999999998,0.594102,0.0,0.0,Dwhite921
Derrick White,1.13971,0.0,0.0,0.0,0.0,2.206936,0.0,0.557473,0.0,0.0,0.458471,0.42302,0.0,0.0,0.0,2014-2015,0.0,1.20058,1.960433,0.537444,0.0,0.0,Dwhite921
Derrick White,1.176426,0.0,0.0,0.0,0.0,1.900989,0.0,0.502092,0.0,0.0,0.450795,0.390422,0.0,0.0,0.0,2012-2013,0.0,1.2513,2.162604,0.575292,0.0,0.0,Dwhite921
Derrick White,1.231806,0.0,0.0,0.0,0.0,1.17115,0.0,0.483759,0.0,0.0,0.471549,0.0,0.0,0.0,0.0,2016-2017,0.0,1.218429,2.50679,0.566091,0.0,0.0,Dwhite921
Derrick White,0.664283,0.0,0.0,0.0,0.0,1.1166559999999999,0.0,1.550576,0.0,0.0,0.47452,0.0,0.0,0.0,0.0,2019-2020,0.0,0.586828,3.1482340000000004,0.494294,0.0,0.0,Dwhite921
Derrick White,1.164902,0.0,0.0,0.0,0.0,1.775771,0.0,0.471706,0.0,0.0,0.455356,0.431097,0.0,0.0,0.0,2020-2021,0.0,1.229434,1.878424,0.575643,0.0,0.0,Dwhite921
Derrick White,0.751978,0.0,0.0,0.0,0.0,1.9120150000000002,0.0,0.516609,0.0,0.0,0.466195,0.422204,0.0,0.0,0.0,2015-2016,0.0,1.290067,2.027428,0.58179,0.0,0.0,Dwhite921
Derrick White,1.19784,0.0,0.0,0.0,0.0,2.311288,0.0,0.574691,0.0,0.0,0.458151,0.395282,0.0,0.0,0.0,2013-2014,0.0,1.2563659999999999,2.156165,0.566109,0.0,0.0,Dwhite921
Derrick White,0.589145,0.0,0.0,0.0,0.0,1.6461419999999998,0.0,0.491955,0.0,0.0,0.498067,0.539655,0.0,0.0,0.0,2018-2019,0.0,1.08935,1.7287309999999998,0.0,0.0,0.575203,Dwhite921
Gorgui Dieng,1.613668,0.0,0.0,0.0,0.0,0.522994,0.0,0.475104,0.0,0.0,0.528316,0.474791,0.0,0.544362,0.0,2017-2018,0.464819,1.5901630000000002,1.6963279999999998,1.060334,0.0,0.0,GorguiDieng
Gorgui Dieng,1.197826,0.0,0.0,0.0,0.0,1.146171,0.0,0.0,0.0,0.0,0.490273,0.0,0.0,0.0,0.0,2014-2015,0.0,1.718241,2.014268,0.488601,0.0,0.638631,GorguiDieng
Gorgui Dieng,0.745062,0.0,0.0,0.0,0.0,1.250907,0.0,0.536332,0.0,0.0,0.520684,0.487863,0.0,0.0,0.0,2012-2013,0.0,1.807269,1.923428,0.590478,0.0,0.0,GorguiDieng
Gorgui Dieng,0.631827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-2017,0.0,0.595678,1.4588299999999998,0.0,0.0,0.0,GorguiDieng
Gorgui Dieng,0.637088,0.545284,0.0,0.0,0.0,2.211982,0.0,0.549667,0.0,0.0,0.495761,0.0,0.0,0.0,0.0,2019-2020,0.0,2.2390499999999998,0.671149,0.558264,0.0,0.0,GorguiDieng
Gorgui Dieng,0.630629,0.0,0.0,0.0,0.0,1.156513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-2016,0.0,1.1257679999999999,1.949608,0.0,0.0,0.0,GorguiDieng
